Company Name,Date,Close,Volume
Coal India,08-09-2023,282.05,2394871
Coal India,07-09-2023,274.00,6693746
Coal India,06-09-2023,255.90,422302
Coal India,05-09-2023,255.25,1605405
Coal India,04-09-2023,247.85,1359448
Coal India,01-09-2023,236.85,1369677
Coal India,31-08-2023,230.10,341563
Coal India,30-08-2023,228.75,237550
Coal India,29-08-2023,229.95,131583
Coal India,28-08-2023,229.40,278716
Coal India,25-08-2023,227.75,241234
Coal India,24-08-2023,229.35,213975
Coal India,23-08-2023,230.85,213977
Coal India,22-08-2023,230.80,292709
Coal India,21-08-2023,230.10,389090
Coal India,18-08-2023,227.45,422194
Coal India,17-08-2023,232.30,321655
Coal India,16-08-2023,233.15,236307
Coal India,14-08-2023,233.90,325189
Coal India,11-08-2023,234.95,318503
Coal India,10-08-2023,234.95,242097
Coal India,09-08-2023,234.70,1116170
Coal India,08-08-2023,230.25,430810
Coal India,07-08-2023,232.85,244023
Coal India,04-08-2023,233.70,435815
Coal India,03-08-2023,230.20,294647
Coal India,02-08-2023,234.50,771951
Coal India,01-08-2023,240.35,950523
Coal India,31-07-2023,229.20,412740
Coal India,28-07-2023,227.25,374311
Coal India,27-07-2023,229.10,293642
Coal India,26-07-2023,230.50,159143
Coal India,25-07-2023,229.90,434015
Coal India,24-07-2023,231.00,440465
Coal India,21-07-2023,229.10,153972
Coal India,20-07-2023,229.70,207670
Coal India,19-07-2023,228.60,247678
Coal India,18-07-2023,228.30,230023
Coal India,17-07-2023,230.15,307709
Coal India,14-07-2023,231.05,283550
Coal India,13-07-2023,229.90,312755
Coal India,12-07-2023,234.15,330158
Coal India,11-07-2023,234.00,198429
Coal India,10-07-2023,233.60,237441
Coal India,07-07-2023,234.00,148958
Coal India,06-07-2023,234.55,254652
Coal India,05-07-2023,231.35,134619
Coal India,04-07-2023,231.75,179363
Coal India,03-07-2023,231.60,263169
Coal India,30-06-2023,230.85,528590
Coal India,28-06-2023,227.30,181861
Coal India,27-06-2023,225.10,242269
Coal India,26-06-2023,224.25,272290
Coal India,23-06-2023,225.90,238285
Coal India,22-06-2023,226.95,315950
Coal India,21-06-2023,228.45,276000
Coal India,20-06-2023,227.30,265211
Coal India,19-06-2023,227.30,132825
Coal India,16-06-2023,228.40,233264
Coal India,15-06-2023,228.60,261272
Coal India,14-06-2023,228.95,192728
Coal India,13-06-2023,228.90,304545
Coal India,12-06-2023,229.00,343304
